"country","region","year","sex","age_group","percent_of_cvd_deaths","trans_fat_pct_kcal_day","sodium_g_per_day","fiber_g_per_day","fruit_g_per_day","legumes_g_per_day","mean_prev_overweight","mean_change_overweight","mean_prev_obese","mean_change_obese","smoking_or_tobacco_use","gdp_billions"
"Montenegro","Balkans",2008,"Male","25-29 years",13.8373049303956,0.405945449141541,6.38469016745357,15.8519343839859,186.522163423731,19.9969109060653,0.335011185900909,0.100685877852601,0.224651158604787,0.818296549620465,NA,10.68040039
"Montenegro","Balkans",2008,"Female","25-29 years",17.0591140371488,0.404424829261451,4.30008430419077,15.7337048348005,179.254226162674,23.094532604333,0.158445563182015,0.4785640303218,0.119679953740197,2.19991916357145,NA,10.68040039
"Montenegro","Balkans",2008,"Male","30-34 years",20.7173429846974,0.40628044990322,5.57714215627784,16.1008653729503,192.994094933043,20.6318744208059,0.38193747855053,0.0301982994697166,0.270058656742674,0.691128793269615,NA,10.68040039
"Montenegro","Balkans",2008,"Female","30-34 years",21.9872435914845,0.404765191316064,3.97616356892307,16.0076952458606,185.631912085849,23.7499753964156,0.208372401639314,0.310052769232451,0.169554273457115,1.91450642738644,NA,10.68040039
"Montenegro","Balkans",2008,"Male","35-39 years",27.6613848103928,0.414230565367204,5.7213562343907,16.3492258230291,200.348817618529,21.2606976857051,0.400619825054809,-0.0306468608721362,0.325366496801152,0.570696877559131,NA,10.68040039
"Montenegro","Balkans",2008,"Female","35-39 years",24.4275590466466,0.408532774780604,3.991494222736,16.25890305488,192.600833480745,24.5091866534014,0.238670795468928,0.182275014969254,0.218991282855641,1.5987630213983,NA,10.68040039
"Montenegro","Balkans",2008,"Male","40-44 years",34.8830948612841,0.413692299539114,6.05800813483542,16.8463341801662,211.673865927124,21.6579161123912,0.398497944320721,-0.0841511597633654,0.365009171823908,0.531306643414134,NA,10.68040039
"Montenegro","Balkans",2008,"Female","40-44 years",27.7345996747565,0.416070973944094,4.29529254827016,16.7444533183546,203.789921666029,24.9293640681894,0.267911987051728,0.0781799844503274,0.272439887177666,1.40014920465541,NA,10.68040039
"Montenegro","Balkans",2008,"Male","45-49 years",38.4952587358989,0.425343968126389,6.59954992411552,17.7197101031841,233.361229685842,21.7811861093918,0.39914584228904,-0.104079130921788,0.391136871011809,0.499841726362369,NA,10.68040039
"Montenegro","Balkans",2008,"Female","45-49 years",30.7440973192618,0.427465459387012,4.64754059580746,17.6354102957882,224.6918735688,25.1013802145535,0.289921645474458,0.0017964817900226,0.324397510401788,1.17394234717462,NA,10.68040039
"Montenegro","Balkans",2008,"Male","50-54 years",40.8419284569251,0.425493276776269,5.80863574647341,18.6086786523358,255.442322900148,22.1504834122578,0.367640739024915,-0.123519668113385,0.436295772914226,0.450432558605646,NA,10.68040039
"Montenegro","Balkans",2008,"Female","50-54 years",34.3170176777016,0.434839728627637,4.14922184551777,18.5074812820948,245.312640719081,25.5524520627162,0.289975765847256,-0.0834695658421934,0.376221880566955,0.984621952521018,NA,10.68040039
"Montenegro","Balkans",2008,"Male","55-59 years",43.651648849209,0.44184306456514,5.73775559516436,19.4712525441163,277.219640063373,22.0968925699665,0.348199778384246,-0.140527457272513,0.462895354551651,0.42136103746023,NA,10.68040039
